REFI,Energy,Power,Latency
4680.0,0.000188023345,3.34819,5.6132537999999996e-05
13946.0,0.000185994675,3.42526,5.4277447e-05
23212.0,0.000185994675,3.42526,5.4277447e-05
32478.0,0.000185994675,3.42526,5.4277447e-05
41744.0,0.000185994675,3.42526,5.4277447e-05
51010.0,0.000185994675,3.42526,5.4277447e-05
60276.0,0.000185994675,3.42526,5.4277447e-05
69542.0,0.000185994675,3.42526,5.4277447e-05
78808.0,0.000185994675,3.42526,5.4277447e-05
88074.0,0.000185994675,3.42526,5.4277447e-05
97340.0,0.000185994675,3.42526,5.4277447e-05
106606.0,0.000185994675,3.42526,5.4277447e-05
115872.0,0.000185994675,3.42526,5.4277447e-05
125138.0,0.000185994675,3.42526,5.4277447e-05
134404.0,0.000185994675,3.42526,5.4277447e-05
143670.0,0.000185994675,3.42526,5.4277447e-05
152936.0,0.000185994675,3.42526,5.4277447e-05
162202.0,0.000185994675,3.42526,5.4277447e-05
171468.0,0.000185994675,3.42526,5.4277447e-05
180734.0,0.000185994675,3.42526,5.4277447e-05
190000.0,0.000185994675,3.42526,5.4277447e-05
199266.0,0.000185994675,3.42526,5.4277447e-05
208532.0,0.000185994675,3.42526,5.4277447e-05
217798.0,0.000185994675,3.42526,5.4277447e-05
227064.0,0.000185994675,3.42526,5.4277447e-05
236330.0,0.000185994675,3.42526,5.4277447e-05
245596.0,0.000185994675,3.42526,5.4277447e-05
254862.0,0.000185994675,3.42526,5.4277447e-05
264128.0,0.000185994675,3.42526,5.4277447e-05
273394.0,0.000185994675,3.42526,5.4277447e-05
282660.0,0.000185994675,3.42526,5.4277447e-05
291926.0,0.000185994675,3.42526,5.4277447e-05
301192.0,0.000185994675,3.42526,5.4277447e-05
310458.0,0.000185994675,3.42526,5.4277447e-05
319724.0,0.000185994675,3.42526,5.4277447e-05
328990.0,0.000185994675,3.42526,5.4277447e-05
338256.0,0.000185994675,3.42526,5.4277447e-05
347522.0,0.000185994675,3.42526,5.4277447e-05
356788.0,0.000185994675,3.42526,5.4277447e-05
366054.0,0.000185994675,3.42526,5.4277447e-05
375320.0,0.000185994675,3.42526,5.4277447e-05
384586.0,0.000185994675,3.42526,5.4277447e-05
393852.0,0.000185994675,3.42526,5.4277447e-05
403118.0,0.000185994675,3.42526,5.4277447e-05
412384.0,0.000185994675,3.42526,5.4277447e-05
421650.0,0.000185994675,3.42526,5.4277447e-05
430916.0,0.000185994675,3.42526,5.4277447e-05
440182.0,0.000185994675,3.42526,5.4277447e-05
449448.0,0.000185994675,3.42526,5.4277447e-05
458714.0,0.000185994675,3.42526,5.4277447e-05
467980.0,0.000185994675,3.42526,5.4277447e-05
