addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
4,1.1213996899999998,1,2.3267694,1,8.4484352e-05,8.741,1,26,14,425880,16,3,1,3.1179919030266268
4,1.1213996899999998,1,2.2724698,2,1.3482684e-05,8.828,0,20,13,238680,15,5,2,121.41917554423344
1,0.9219665600000001,1,11.782786,3,8.204338400000036e-05,6.465,1,34,12,379080,16,5,3,0.6072310562419668
1,0.9219665600000001,1,11.782786,4,8.204338400000036e-05,6.465,1,34,12,379080,16,5,4,130.355047240179
1,0.9219665600000001,1,11.782786,5,8.204338400000036e-05,6.465,1,34,12,379080,16,5,5,138.24337508239947
1,0.9219665600000001,1,11.782786,6,8.204338400000036e-05,6.465,1,34,12,379080,16,5,6,140.8382525771465
1,0.9219665600000001,1,11.782786,7,8.204338400000036e-05,6.465,1,34,12,379080,16,5,7,139.52642959316057
1,0.9219665600000001,1,11.782786,8,8.204338400000036e-05,6.465,1,34,12,379080,16,5,8,141.20809345857322
1,0.9219665600000001,1,11.782786,9,8.204338400000036e-05,6.465,1,34,12,379080,16,5,9,142.76537662956534
1,0.9219665600000001,1,11.782786,10,8.204338400000036e-05,6.465,1,34,12,379080,16,5,10,71.93236035603424
1,0.9219665600000001,1,11.782786,11,8.204338400000036e-05,6.465,1,34,12,379080,16,5,11,0.14153454302739815
1,0.9219665600000001,1,11.782786,12,8.204338400000036e-05,6.465,1,34,12,379080,16,5,12,120.7480423767849
1,0.9219665600000001,1,11.782786,13,8.204338400000036e-05,6.465,1,34,12,379080,16,5,13,144.2531297289861
1,0.9219665600000001,1,11.782786,14,8.204338400000036e-05,6.465,1,34,12,379080,16,5,14,149.40172401510293
1,0.9219665600000001,1,11.782786,15,8.204338400000036e-05,6.465,1,34,12,379080,16,5,15,147.60879816998064
1,0.9219665600000001,1,11.782786,16,8.204338400000036e-05,6.465,1,34,12,379080,16,5,16,150.12362647195675
1,0.9219665600000001,1,11.782786,17,8.204338400000036e-05,6.465,1,34,12,379080,16,5,17,148.92958846713773
1,0.9219665600000001,1,11.782786,18,8.204338400000036e-05,6.465,1,34,12,379080,16,5,18,151.78056017948904
1,0.9219665600000001,1,11.782786,19,8.204338400000036e-05,6.465,1,34,12,379080,16,5,19,150.26346146956615
1,0.9219665600000001,1,11.782786,20,8.204338400000036e-05,6.465,1,34,12,379080,16,5,20,75.4710571300045
1,0.9219665600000001,1,11.782786,21,8.204338400000036e-05,6.465,1,34,12,379080,16,5,21,1.4140852098216845
1,0.9219665600000001,1,11.782786,22,8.204338400000036e-05,6.465,1,34,12,379080,16,5,22,104.41384117500623
1,0.9219665600000001,1,11.782786,23,8.204338400000036e-05,6.465,1,34,12,379080,16,5,23,148.75528443750886
1,0.9219665600000001,1,11.782786,24,8.204338400000036e-05,6.465,1,34,12,379080,16,5,24,147.31846440237433
1,0.9219665600000001,1,11.782786,25,8.204338400000036e-05,6.465,1,34,12,379080,16,5,25,150.87967193064497
1,0.9219665600000001,1,11.782786,26,8.204338400000036e-05,6.465,1,34,12,379080,16,5,26,147.2977699736611
1,0.9219665600000001,1,11.782786,27,8.204338400000036e-05,6.465,1,34,12,379080,16,5,27,149.89293117003788
1,0.9219665600000001,1,11.782786,28,8.204338400000036e-05,6.465,1,34,12,379080,16,5,28,147.6607639500088
1,0.9219665600000001,1,11.782786,29,8.204338400000036e-05,6.465,1,34,12,379080,16,5,29,146.73607612650434
1,0.9219665600000001,1,11.326411,30,6.604308400000001e-05,6.52,1,34,13,379080,16,5,30,76.39897996357013
1,0.9219665600000001,1,11.782786,31,8.204338400000036e-05,6.465,1,34,12,379080,16,5,31,1.4128324665175565
1,0.9219665600000001,1,11.782786,32,8.204338400000036e-05,6.465,1,34,12,379080,16,5,32,135.07355403838721
1,0.9219665600000001,1,11.782786,33,8.204338400000036e-05,6.465,1,34,12,379080,16,5,33,146.92111531455794
1,0.9219665600000001,1,11.782786,34,8.204338400000036e-05,6.465,1,34,12,379080,16,5,34,143.93136817542293
1,0.9219665600000001,1,11.782786,35,8.204338400000036e-05,6.465,1,34,12,379080,16,5,35,148.004657891951
1,0.9219665600000001,1,11.782786,36,8.204338400000036e-05,6.465,1,34,12,379080,16,5,36,148.9824885447377
1,0.9219665600000001,1,11.782786,37,8.204338400000036e-05,6.465,1,34,12,379080,16,5,37,147.85856805442944
1,0.9219665600000001,1,11.782786,38,8.204338400000036e-05,6.465,1,34,12,379080,16,5,38,149.19977233921458
