RCD,Energy,Power,Latency
8.0,0.0136491388505,1.1539000000000001,0.011823949361
11.0,0.013842684361,1.13328,0.012209827448
14.0,0.0140404658645,1.11385,0.012600260379
17.0,0.01427464049,1.09561,0.01302378007
20.0,0.014479646426499999,1.07731,0.01343524042
23.0,0.014694720771,1.05857,0.013876141489
