addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
0,6766.57272038,1,1.1123172,83,1.7498752000000333e-05,70668.914,1,37,14,98280,12,5,83,144.8059382012774
3,5625.5031895,1,4.684106,84,3.0195684000000003e-05,46821.886,1,29,13,285480,15,6,84,148.86087450312323
3,5625.5031895,1,4.2619076,85,8.5515884e-05,48440.003,1,20,13,425880,14,5,85,146.4440487413149
2,5028.3647025,1,15.666385,86,7.986019999999999e-06,38271.046,1,26,15,191880,15,5,86,145.5748993474941
2,5035.858058119999,1,11.365911,87,2.98002e-06,41136.66,1,20,15,98280,16,5,87,148.6920022688599
2,5035.858058119999,1,18.041107,88,1.4448e-06,37196.553,1,36,16,98280,14,5,88,147.9315769054421
3,5625.5031895,1,4.818871,89,2.9902352e-05,46365.083,1,38,14,285480,15,5,89,149.87686260496696
3,5635.98806638,1,4.1672144,90,2.1852199999999996e-06,48728.623,1,25,15,98280,14,5,90,89.2063465055936
3,5635.98806638,1,4.161483,91,2.650352e-06,48753.746,1,22,14,98280,15,5,91,25.15008004988877
2,5360.8496478100005,1,8.32375,92,8.524519999999999e-07,41497.397,0,25,14,4680,15,6,92,132.95834654155837
2,5028.3647025,1,15.302298,93,8.401155200000001e-05,38456.235,0,35,14,425880,14,5,93,0.03925848584985794
3,5625.5031895,1,4.125413,94,8.40776e-05,49033.98,0,34,16,425880,14,4,94,83.83745427651962
2,5028.3647025,1,13.943496,95,8.41352e-05,39232.773,0,31,16,425880,14,6,95,127.54071641427963
4,7609.37856806,1,0.67529386,96,1.1844519999999998e-06,81120.758,0,23,14,4680,15,5,96,130.75736509025157
3,5043.810493,1,6.7741613,97,4.577952e-06,48215.739,0,34,14,145080,14,6,97,131.73479066553597
0,6766.57272038,1,1.0466144,98,1.57762e-06,73191.351,1,34,15,98280,14,5,98,134.5578903467967
3,5629.07451062,1,4.716319,99,4.5447520000000005e-06,46674.257,1,34,14,145080,15,5,99,134.0590021414645
4,6995.15210131,1,0.88283604,100,1.986e-06,77220.519,1,26,16,98280,15,5,100,67.47376210546636
