,cactusADM,copy,ferret,fotonik3d,freqmine,GemsFDTD,hmmer,lbm,namd,parest,sphinx3,swaptions,triad,xz,zeusmp
Latency,55937.442,4737.316,158.625,92469.754,277.953,87487.238,39240.498,98091.347,37393.023,57113.13,44995.13,6.774,5924.312,42251.598,123322.407
Energy,4978.0221588800005,790.367206,21.04753862,11787.49704131,36.837637439999995,12158.06809238,3884.151468,16752.41594125,3485.0610585599998,7580.94296225,4587.52506856,0.97156712,1089.92137219,5369.24856869,18039.866779310003
EDP,278457825.78706485,3744219.2108590957,3338.6658135975003,1089986951.6856635,10239.131839360318,1063675796.818255,152416037.91175106,1643267045.1814854,130316968.31913842,432971380.92556936,206416286.8381161,6.58139567088,6457034.264321684,226859332.08636525,2224719793.1838474
