,cactusADM,copy,ferret,fotonik3d,freqmine,GemsFDTD,hmmer,lbm,namd,parest,sphinx3,swaptions,triad,xz,zeusmp
Latency,39300.703,4193.514,144.16,80275.797,257.399,71978.878,26362.373,74451.276,33865.696,51433.769,40152.184,6.36,5312.539,35668.764,102088.461
Energy,4186.0781200599995,745.98863506,19.71250144,10922.384943879999,34.57514063,11248.40352231,2470.07273362,15272.63966869,3112.51934875,7081.026616939999,4149.50396912,0.936292,1033.79439588,5049.74330225,16663.77896806
EDP,164515812.93127638,3128313.784965001,2841.7542075904,876803156.5107672,8899.60662302137,809647464.8271217,65116978.74082007,1137067511.2221878,105407634.0588855,364203887.2985434,166611646.87683657,5.95481712,5492073.046093939,180118102.10853595,1701179549.2934134
