addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
0,21.90357775,1,5.1043415,1,8.442742000000001e-05,175.508,1,27,15,425880,13,5,1,1.160792093237451
1,19.620773120000003,1,16.353983,2,8.204338400000036e-05,146.242,1,34,12,379080,16,5,2,115.81676101063096
0,22.02640356,1,4.7499256,3,5.83e-07,178.607,1,29,16,51480,16,4,3,0.414819884394893
3,20.02627069,1,12.1167345,4,8.515035200000001e-05,152.581,0,22,14,425880,15,3,4,1.3990018241741602
1,21.04753862,1,8.433917,5,1.624548400000036e-05,158.334,1,34,12,4680,15,5,5,1.395418408872541
3,20.02627069,1,11.602436,6,7.98402e-06,154.105,1,26,15,191880,16,4,6,107.77562504817946
3,20.069463690000003,1,11.503446,7,1.54242e-06,154.064,1,34,15,98280,16,5,7,130.44423710891334
0,21.944358809999997,1,5.1218486,8,1.9078752000000335e-05,174.945,1,20,14,98280,12,4,8,1.3075765043599872
0,21.90357775,1,4.8488197,9,6.419842000000033e-05,178.528,0,33,15,332280,12,4,9,1.3059365991006069
1,19.620773120000003,1,16.24795,10,4.655338400000036e-05,146.425,0,26,12,285480,13,6,10,1.384489037120366
3,20.02627069,1,12.18478,11,8.174538400000069e-05,152.389,0,19,12,332280,12,3,11,0.07587018138297698
4,23.6891495,1,2.8565137,12,4.7316984000000356e-05,198.0,0,21,12,285480,15,6,12,1.215621546532991
3,20.06270412,1,12.001059,13,4.543084e-06,152.629,0,34,13,145080,16,6,13,1.3779596964503191
3,20.02627069,1,11.805301,14,6.597668400000001e-05,153.488,1,35,13,379080,16,4,14,112.44179936732615
1,19.71426738,1,15.631173,15,1.655938400000036e-05,146.872,1,31,12,51480,13,6,15,1.4846867817587202
0,21.90357775,1,4.684736,16,8.98002e-06,180.641,0,20,15,191880,16,3,16,1.2893763885383547
3,20.02627069,1,12.249991,17,1.1978683999999999e-05,152.207,0,36,13,238680,13,5,17,1.379050667725813
0,22.02640356,1,4.9849505,18,1.6388420000000334e-05,175.759,1,37,15,51480,12,5,18,1.2892689815267355
1,19.71426738,1,15.522894,19,1.7540984000000362e-05,147.072,0,22,12,51480,15,5,19,1.3808099110867642
0,23.534900559999997,1,3.0829163,20,2.4485200000000013e-07,193.577,0,34,14,4680,15,3,20,78.33817074765133
0,23.534900559999997,1,3.182037,21,1.675348400000036e-05,191.229,0,26,12,4680,13,6,21,1.1580013362709207
0,21.90357775,1,4.777468,22,6.6195352e-05,179.429,0,29,14,379080,15,5,22,113.17298507865411
4,23.6891495,1,2.8801177,23,4.619875200000033e-05,197.346,0,32,14,285480,12,4,23,1.215310880010802
4,23.6891495,1,2.9430346,24,3.96417840000007e-05,195.654,1,34,12,191880,12,6,24,1.2094389377086052
4,23.730318559999997,1,2.8692317,25,1.7699084000000333e-05,197.244,0,32,13,98280,12,3,25,111.53284050417487
3,20.02627069,1,12.276706,26,2.996842e-05,152.133,0,37,15,285480,13,6,26,129.95519752130133
3,20.06270412,1,12.046194,27,5.218752e-06,152.5,0,25,14,145080,13,5,27,134.28648267913172
4,23.6891495,1,2.8262677,28,1.2984683999999999e-05,198.854,1,23,13,238680,15,3,28,141.73297739330246
