addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
0,1.06481219,1,3.1334798,1,3.0193020000000002e-05,8.223,1,29,15,285480,16,5,1,3.14265526881092
4,1.1213996899999998,1,2.2513332,2,4.8102352e-05,8.863,0,31,14,332280,15,6,2,116.37590521905608
1,0.9219665600000001,1,11.782786,3,8.204338400000036e-05,6.465,1,34,12,379080,16,5,3,0.6046562654297628
1,0.9219665600000001,1,11.782786,4,8.204338400000036e-05,6.465,1,34,12,379080,16,5,4,129.73812985245445
1,0.9219665600000001,1,11.782786,5,8.204338400000036e-05,6.465,1,34,12,379080,16,5,5,135.7072507846119
1,0.9219665600000001,1,11.782786,6,8.204338400000036e-05,6.465,1,34,12,379080,16,5,6,138.29807438670537
1,0.9219665600000001,1,11.782786,7,8.204338400000036e-05,6.465,1,34,12,379080,16,5,7,139.41048992887056
1,0.9219665600000001,1,11.782786,8,8.204338400000036e-05,6.465,1,34,12,379080,16,5,8,138.553911205074
1,0.9219665600000001,1,11.782786,9,8.204338400000036e-05,6.465,1,34,12,379080,16,5,9,140.44212288632178
1,0.9219665600000001,1,11.782786,10,8.204338400000036e-05,6.465,1,34,12,379080,16,5,10,72.42547313164802
1,0.9219665600000001,1,11.782786,11,8.204338400000036e-05,6.465,1,34,12,379080,16,5,11,0.07609436410586023
1,0.9219665600000001,1,11.782786,12,8.204338400000036e-05,6.465,1,34,12,379080,16,5,12,12.247716494965777
1,0.9219665600000001,1,11.782786,13,8.204338400000036e-05,6.465,1,34,12,379080,16,5,13,140.8808276232702
1,0.9219665600000001,1,11.782786,14,8.204338400000036e-05,6.465,1,34,12,379080,16,5,14,146.03105633312444
1,0.9219665600000001,1,11.782786,15,8.204338400000036e-05,6.465,1,34,12,379080,16,5,15,146.34185827431003
1,0.9219665600000001,1,11.782786,16,8.204338400000036e-05,6.465,1,34,12,379080,16,5,16,147.1324236152524
1,0.9219665600000001,1,11.782786,17,8.204338400000036e-05,6.465,1,34,12,379080,16,5,17,149.67362523641296
1,0.9219665600000001,1,11.782786,18,8.204338400000036e-05,6.465,1,34,12,379080,16,5,18,145.47896361555271
1,0.9219665600000001,1,11.782786,19,8.204338400000036e-05,6.465,1,34,12,379080,16,5,19,147.375404075896
1,0.9219665600000001,1,11.782786,20,8.204338400000036e-05,6.465,1,34,12,379080,16,5,20,75.55806957179658
1,0.9219665600000001,1,11.782786,21,8.204338400000036e-05,6.465,1,34,12,379080,16,5,21,25.411399767351686
1,0.9219665600000001,1,11.782786,22,8.204338400000036e-05,6.465,1,34,12,379080,16,5,22,102.46003517686144
1,0.9219665600000001,1,11.782786,23,8.204338400000036e-05,6.465,1,34,12,379080,16,5,23,146.22451540928742
1,0.9219665600000001,1,11.782786,24,8.204338400000036e-05,6.465,1,34,12,379080,16,5,24,145.48400971210543
1,0.9219665600000001,1,11.782786,25,8.204338400000036e-05,6.465,1,34,12,379080,16,5,25,147.77521755980692
1,0.9219665600000001,1,11.782786,26,8.204338400000036e-05,6.465,1,34,12,379080,16,5,26,148.9824885447377
1,0.9219665600000001,1,11.782786,27,8.204338400000036e-05,6.465,1,34,12,379080,16,5,27,146.84395896789553
1,0.9219665600000001,1,11.782786,28,8.204338400000036e-05,6.465,1,34,12,379080,16,5,28,148.57086181856823
1,0.9219665600000001,1,11.782786,29,8.204338400000036e-05,6.465,1,34,12,379080,16,5,29,149.97332570529554
1,0.9219665600000001,1,11.782786,30,8.204338400000036e-05,6.465,1,34,12,379080,16,5,30,74.45686288432863
1,0.9219665600000001,1,11.782786,31,8.204338400000036e-05,6.465,1,34,12,379080,16,5,31,25.928537869983433
1,0.9219665600000001,1,11.782786,32,8.204338400000036e-05,6.465,1,34,12,379080,16,5,32,137.3965342156124
1,0.9219665600000001,1,11.782786,33,8.204338400000036e-05,6.465,1,34,12,379080,16,5,33,146.3010220098364
1,0.9219665600000001,1,11.782786,34,8.204338400000036e-05,6.465,1,34,12,379080,16,5,34,148.4236526416363
1,0.9219665600000001,1,11.782786,35,8.204338400000036e-05,6.465,1,34,12,379080,16,5,35,148.95074398948827
1,0.9219665600000001,1,11.782786,36,8.204338400000036e-05,6.465,1,34,12,379080,16,5,36,146.9828987945052
1,0.9219665600000001,1,11.782786,37,8.204338400000036e-05,6.465,1,34,12,379080,16,5,37,148.623507317246
1,0.9219665600000001,1,11.782786,38,8.204338400000036e-05,6.465,1,34,12,379080,16,5,38,148.25053018521137
1,0.9219665600000001,1,11.782786,39,8.204338400000036e-05,6.465,1,34,12,379080,16,5,39,142.16533911805578
1,0.9219665600000001,1,11.782786,40,8.204338400000036e-05,6.465,1,34,12,379080,16,5,40,102.24523426454098
1,0.9219665600000001,1,11.782786,41,8.204338400000036e-05,6.465,1,34,12,379080,16,5,41,24.495862169659805
1,0.9219665600000001,1,11.782786,42,8.204338400000036e-05,6.465,1,34,12,379080,16,5,42,133.93485758078938
1,0.9219665600000001,1,11.782786,43,8.204338400000036e-05,6.465,1,34,12,379080,16,5,43,146.96744805354078
1,0.9219665600000001,1,11.782786,44,8.204338400000036e-05,6.465,1,34,12,379080,16,5,44,146.11245035881
1,0.9219665600000001,1,11.782786,45,8.204338400000036e-05,6.465,1,34,12,379080,16,5,45,147.16856140350876
1,0.9219665600000001,1,11.782786,46,8.204338400000036e-05,6.465,1,34,12,379080,16,5,46,144.3176547500258
1,0.9219665600000001,1,11.782786,47,8.204338400000036e-05,6.465,1,34,12,379080,16,5,47,147.59840940282226
1,0.9219665600000001,1,11.782786,48,8.204338400000036e-05,6.465,1,34,12,379080,16,5,48,147.30811646120887
1,0.9219665600000001,1,11.782786,49,8.204338400000036e-05,6.465,1,34,12,379080,16,5,49,146.81825819098293
1,0.9219665600000001,1,11.782786,50,8.204338400000036e-05,6.465,1,34,12,379080,16,5,50,102.55022004889976
